iter	RMSE
0	0.5219946284
1	0.4944469535
2	0.4699807486
3	0.4448722788
4	0.4246011246
5	0.4069726521
6	0.3905736913
7	0.3766896928
8	0.3617349761
9	0.3499687097
10	0.3399503289
11	0.3296887299
12	0.3194281071
13	0.3123303756
14	0.3059941374
15	0.3006030976
16	0.293332424
17	0.2891834977
18	0.282504724
19	0.2782364295
20	0.2734977609
21	0.2694973204
22	0.2647546263
23	0.2604447394
24	0.2564767572
25	0.2521383209
26	0.2499869672
27	0.2467135221
28	0.2442077759
29	0.2414222757
30	0.2385817202
31	0.2356495624
32	0.2337703239
33	0.2286065872
34	0.2265203954
35	0.2225468259
36	0.2208616978
37	0.2186223878
38	0.2172193834
39	0.2152859456
40	0.213583183
41	0.2120593689
42	0.2095018031
43	0.2084425114
44	0.2065410426
45	0.2042017284
46	0.2023916486
47	0.201743774
48	0.2003526841
49	0.1985603641
50	0.1976387006
51	0.196754934
52	0.1955340327
53	0.1942524542
54	0.1929336865
55	0.1910022569
56	0.1900923338
57	0.189622769
58	0.1879914858
59	0.1865345587
60	0.1862144413
61	0.1858093214
62	0.1832725893
63	0.1827955942
64	0.1811345789
65	0.1800306455
66	0.1783654448
67	0.1774076499
68	0.1748072472
69	0.1722647186
70	0.1713606549
71	0.1699339366
72	0.1686704388
73	0.1679125553
74	0.1670707889
75	0.1656045971
76	0.1652771705
77	0.1647356561
78	0.1630418824
79	0.1626810604
80	0.161792266
81	0.1609736475
82	0.1607046199
83	0.1597858037
84	0.1592116329
85	0.1582228619
86	0.1576905417
87	0.1572886355
88	0.1570887227
89	0.1569326413
90	0.1559644978
91	0.1554230999
92	0.154861782
93	0.1543142162
94	0.1541609763
95	0.1533535571
96	0.1518577444
97	0.1517306993
98	0.1512051467
99	0.149874377
100	0.1494099969
101	0.1486666373
102	0.1484088447
103	0.1482896613
104	0.1474700959
105	0.1471710895
106	0.1470875142
107	0.1465223947
108	0.1459168189
109	0.1453754955
110	0.144968882
111	0.1448122072
112	0.1446566416
113	0.1442008061
114	0.1438594252
115	0.1436942056
116	0.1435544108
117	0.1430956621
118	0.1422854322
119	0.1420038794
120	0.1417587391
121	0.1413621453
122	0.1406967044
123	0.1405454761
124	0.1400544887
125	0.1396393349
126	0.1395139517
127	0.1393690219
128	0.1390506318
129	0.1382111605
130	0.1378219741
131	0.1376461611
132	0.1373607034
133	0.1372124982
134	0.1370659945
135	0.1365034953
136	0.1360875004
137	0.1357413524
138	0.1350649587
139	0.1349044828
140	0.1347013457
141	0.1346241059
142	0.1343582635
143	0.1338020363
144	0.1336785291
145	0.1334525236
146	0.1330614848
147	0.132879541
148	0.1326014036
149	0.1323760667
150	0.131997809
151	0.1318882455
152	0.1315961989
153	0.1314733464
154	0.131285458
155	0.1311686247
156	0.1309256982
157	0.1305503531
158	0.1300191473
159	0.1298470278
160	0.1295452337
161	0.1292201726
162	0.1289539009
163	0.1287939383
164	0.1286803921
165	0.1282639128
166	0.1281572234
167	0.1279626618
168	0.1278488493
169	0.127477994
170	0.1272351441
171	0.1271721802
172	0.1269985317
173	0.1268972153
174	0.126781044
175	0.1267324097
176	0.1264891571
177	0.1263787832
178	0.1262806322
179	0.1261994943
180	0.1260988617
181	0.1258222948
182	0.1256190702
183	0.1254255258
184	0.1252894833
185	0.1251832025
186	0.1251054977
187	0.1248624007
188	0.1245527635
189	0.1244693601
190	0.1243980628
191	0.1240477714
192	0.1239954842
193	0.1237617918
194	0.1234767518
195	0.1234032488
196	0.1233094654
197	0.123088645
198	0.1230074208
199	0.1227635536
200	0.1226967144
201	0.1226085647
202	0.1223337889
203	0.1222636905
204	0.1221438305
205	0.121991495
206	0.1219149324
207	0.1217196535
208	0.1215296205
209	0.1211439386
210	0.1209888876
211	0.1208904695
212	0.1207396487
213	0.1206656569
214	0.1205761181
215	0.1203338946
216	0.1200820122
217	0.1200242965
218	0.1199564027
219	0.1197592169
220	0.1195849687
221	0.119399822
222	0.1193147312
223	0.1192467233
224	0.1190811138
225	0.1190093281
226	0.118885496
227	0.1185293579
228	0.1183900797
229	0.1183153955
230	0.1182068992
231	0.1181059256
232	0.1179256954
233	0.1177871198
234	0.1177167969
235	0.1176179561
236	0.1175502212
237	0.1175066358
238	0.1174400112
239	0.1174122266
240	0.1173611539
241	0.1173065874
242	0.1170454727
243	0.1169367104
244	0.1166810068
245	0.1166209829
246	0.1165162988
247	0.1164585624
248	0.116393892
249	0.1161228241
250	0.1159530746
251	0.1158441418
252	0.115712994
253	0.1156241621
254	0.1154547539
255	0.1153878281
256	0.1151631306
257	0.1151061795
258	0.1150426079
259	0.1148355356
260	0.1147724598
261	0.1147150902
262	0.1146375249
263	0.1145713579
264	0.1143529421
265	0.1141265411
266	0.1139778829
267	0.1138018929
268	0.1136490706
269	0.1135917509
270	0.1134822763
271	0.1134253714
272	0.1132953848
273	0.1132673906
274	0.1131588071
275	0.1131089123
276	0.1129805492
277	0.1129484636
278	0.1127925402
279	0.1127349883
280	0.1126502721
281	0.1126178859
282	0.1125496416
283	0.1125085796
284	0.1124652791
285	0.1124149358
286	0.1123391395
287	0.1122840308
288	0.1122409641
289	0.112171762
290	0.1120360536
291	0.1119576305
292	0.1118405236
293	0.1117958162
294	0.111775432
295	0.1117304552
296	0.1116605427
297	0.1116002802
298	0.1113546015
299	0.1112993817
300	0.1112256192
301	0.1111691672
302	0.1110988701
303	0.1109365904
304	0.1108578786
305	0.1108085398
306	0.1107477111
307	0.1107055637
308	0.1106782145
309	0.1105880722
310	0.1105449401
311	0.1105093468
312	0.1104487391
313	0.1103047238
314	0.1101897612
315	0.1100575045
316	0.1099462089
317	0.1098839196
318	0.1097688687
319	0.1096313261
320	0.1095498547
321	0.1094315878
322	0.1093435126
323	0.1093148647
324	0.1091241928
325	0.1090215363
326	0.1089812339
327	0.1089105654
328	0.1088931118
329	0.1087553914
330	0.1086970014
331	0.1085446552
332	0.1085064918
333	0.1084905144
334	0.1084505609
335	0.1083976377
336	0.1083648425
337	0.1083308841
338	0.1082846901
339	0.1082815361
340	0.1082577949
341	0.1082549517
342	0.1082043547
343	0.1081612056
344	0.1081563764
345	0.1080803
346	0.1079879389
347	0.1079361917
348	0.1078943337
349	0.1077670312
350	0.1077180679
351	0.1076835829
352	0.1076516054
353	0.1076203109
354	0.1075931962
355	0.1075534204
356	0.107550678
357	0.1074888873
358	0.1074486509
359	0.1073846321
360	0.107304295
361	0.1071577146
362	0.1071187244
363	0.1071147612
364	0.1070749718
365	0.107028433
366	0.1069566285
367	0.1068057068
368	0.1067591051
369	0.1067180566
370	0.1066822629
371	0.1066457227
372	0.1066065401
373	0.1065202388
374	0.1064758658
375	0.1064478189
376	0.1064103714
377	0.1063664003
378	0.1062958595
379	0.1062341276
380	0.1062318014
381	0.1062006036
382	0.1061277159
383	0.1060619298
384	0.1060313458
385	0.1059632143
386	0.1058798814
387	0.1058487885
388	0.1057757518
389	0.1057435281
390	0.1056939028
391	0.1055878046
392	0.1054586775
393	0.1054101057
394	0.1052528859
395	0.1052253981
396	0.1051700261
397	0.1051206623
398	0.1050654592
399	0.1050453645
400	0.1049882459
401	0.1049348183
402	0.1049142469
403	0.1048435661
404	0.1048002292
405	0.1046850439
406	0.104652748
407	0.1046113256
408	0.1045829311
409	0.1045232982
410	0.1045029032
411	0.1044646309
412	0.1044250115
413	0.1043627146
414	0.1043543536
415	0.1043331036
416	0.1042804052
417	0.1042258525
418	0.1042037104
419	0.1041709353
420	0.1041120167
421	0.1039960562
422	0.1039735606
423	0.1039472348
424	0.103858643
425	0.103827691
426	0.1037834978
427	0.1037475993
428	0.1037137373
429	0.1036534415
430	0.1036406258
431	0.10359823
432	0.1034942989
433	0.1034476327
434	0.1034194775
435	0.103387645
436	0.1033607511
437	0.1033365962
438	0.1033072378
439	0.1032232823
440	0.1031872028
441	0.1031469406
442	0.1031189204
443	0.1030581634
444	0.1030264359
445	0.1029729591
446	0.1029512399
447	0.1029251846
448	0.1029194735
449	0.1028880604
450	0.1028258737
451	0.1027624591
452	0.1026431209
453	0.1026378134
454	0.102527555
455	0.102455134
456	0.102418195
457	0.1023107614
458	0.1022824778
459	0.102250761
460	0.1021942572
461	0.1021521623
462	0.1021068563
463	0.1020951672
464	0.1020646023
465	0.1019950379
466	0.101877826
467	0.1018280742
468	0.1017732909
469	0.1016867573
470	0.1016856362
471	0.1016801723
472	0.1016404226
473	0.1016156807
474	0.1016052056
475	0.1015728291
476	0.1015696715
477	0.101529131
478	0.1014781802
479	0.1014416386
480	0.1013930389
481	0.1013589813
482	0.1013140262
483	0.1012778447
484	0.1012314448
485	0.1011925829
486	0.1011769096
487	0.1011039122
488	0.1010761581
489	0.101057394
490	0.1010117215
491	0.1009809661
492	0.1009058601
493	0.100885543
494	0.1008519081
495	0.1007953581
496	0.1007089435
497	0.1006846333
498	0.1005854444
499	0.1005630837
500	0.1005203916
501	0.100446002
502	0.1004159051
503	0.1003891536
504	0.1003540712
505	0.100302854
506	0.1002811691
507	0.100244885
508	0.1000780567
509	0.1000535165
510	0.1000321122
511	0.1000066086
512	0.09993247665
513	0.09988405096
514	0.09979650139
515	0.09975787155
516	0.09972277079
517	0.09968954272
518	0.09954981824
519	0.09954852194
520	0.09949991902
521	0.09947411688
522	0.09944057834
523	0.09937611681
524	0.09927142642
525	0.0992326483
526	0.09919311282
527	0.09916884897
528	0.09912552288
529	0.0990425795
530	0.09897432958
531	0.09895184826
532	0.09885954601
533	0.09882625316
534	0.09876891986
535	0.0986839391
536	0.09865578339
537	0.09860590632
538	0.0985782941
539	0.0985766083
540	0.09853255734
541	0.09850319738
542	0.09847742693
543	0.09843604551
544	0.09833786096
545	0.09829992506
546	0.09824949806
547	0.09822584269
548	0.09820441471
549	0.09812830319
550	0.0980985288
551	0.09803196141
552	0.09799479474
553	0.09797557991
554	0.09795052091
555	0.09791732053
556	0.09789325862
557	0.09785887528
558	0.09782570964
559	0.09779062519
560	0.0977566888
561	0.09773257837
562	0.09766304073
563	0.09764079875
564	0.09759500344
565	0.097577227
566	0.09753598835
567	0.09750348375
568	0.09748412519
569	0.0974500083
570	0.09743125497
571	0.09740369767
572	0.09737083124
573	0.09734128431
574	0.09732488486
575	0.0972917195
576	0.09724370529
577	0.09718209436
578	0.09714294884
579	0.09710410153
580	0.09707722615
581	0.09700626935
582	0.0969743689
583	0.09693213161
584	0.09690732464
585	0.09688514703
586	0.09680540761
587	0.09680398385
588	0.09675817213
589	0.09672751873
590	0.09670678381
591	0.09668786083
592	0.09666127599
593	0.09663263508
594	0.09660717212
595	0.09660612289
596	0.09656732478
597	0.09652920479
598	0.09648627242
599	0.09642716109
600	0.0964019041
601	0.09637040784
602	0.0962985588
603	0.0962584905
604	0.0962312961
605	0.09620815628
606	0.0961802105
607	0.09615224261
608	0.09612746579
609	0.09609325713
610	0.09606831706
611	0.0960404502
612	0.09602700829
613	0.095946426
614	0.09590605699
615	0.09588591877
616	0.09585437362
617	0.09583490321
618	0.09580741599
619	0.09576781301
620	0.09572011596
621	0.09568529538
622	0.09564416978
623	0.09564340287
624	0.09561475327
625	0.09557166446
626	0.09555547896
627	0.09552422761
628	0.09549029668
629	0.09547153942
630	0.09542347793
631	0.09539989123
632	0.09536713728
633	0.09532615801
634	0.09530936887
635	0.09526126331
636	0.09524138918
637	0.09515456838
638	0.09509484644
639	0.09508040078
640	0.09502636698
641	0.09499691538
642	0.0949782524
643	0.09495922096
644	0.09490797912
645	0.09488187982
646	0.09486230799
647	0.09484273906
648	0.09477683689
649	0.09475581588
650	0.09472026891
651	0.09469669483
652	0.09469583497
653	0.09466273187
654	0.09463581711
655	0.09459844465
656	0.09458209955
657	0.09455930465
658	0.09453046766
659	0.09447214109
660	0.09443761284
661	0.09440939089
662	0.09437962455
663	0.094344347
664	0.09431313988
665	0.09430508648
666	0.09428034514
667	0.09425346267
668	0.09416741732
669	0.09413961044
670	0.09412859593
671	0.09410843387
672	0.09407385153
673	0.09406480138
674	0.09404126639
675	0.0939930172
676	0.09396670054
677	0.09392579163
678	0.09381588502
679	0.09381519079
680	0.09378425824
681	0.09376610154
682	0.09374399053
683	0.09372101171
684	0.09369947328
685	0.09367476096
686	0.0936416635
687	0.09359979631
688	0.09357810557
689	0.093505331
690	0.09348807213
